sentence,audio,token,id
"К себе в гарнизон двенадцать километров шла пешком, сообщить о том, что победа.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-653145-659938.wav,К,1
"К сожалению, нет.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2292020-2295140.wav,К,2
"К счастью, дети все равно все кричат: 'Василиса!' - полное имя.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2900010-2907390.wav,К,3
"К чему -то они там детей готовили, непонятно к чему.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-om1973-269824-273366.wav,К,4
К одному и к другому.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-om1973-1800081-1803936.wav,К,5
К Звенигороду я больше.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-2078218-2082303.wav,К,6
"К сожалению, два года, потому что",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-1063001-1064911.wav,К,7
К концу года уже получилось хорошо.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-1215701-1217521.wav,К,8
"С какого, с две тысячи пятого года я там.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-295276-297988.wav,С,9
С людьми общаются другие.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1118135-1119744.wav,С,10
"С группой, а эти были экономика и бухучёт.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1226056-1229640.wav,С,11
С ветеринарным вот управлением.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2370654-2373425.wav,С,12
С тысяча девятьсот пятидесятого года рождения я.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-15470-18750.wav,С,13
С теплотой такой...,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-49940-51790.wav,С,14
"С пятнадцатого года, восемнадцатый...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2438280-2445370.wav,С,15
